target,name,link
空心菜,水培空心菜,https://www.bilibili.com/video/BV1DU4y1Z7jK
芽苗菜,芽苗菜——打包盒7天收割,https://www.bilibili.com/video/BV12S4y1T7rc
豌豆苗,万物皆可种——豌豆苗篇,https://www.bilibili.com/video/BV1rT4y117FB
香菜,沉浸式种香菜,https://www.bilibili.com/video/BV1ou411e7NG
蒜苗,懒人种蒜苗🧄,https://www.bilibili.com/video/BV1kE411v7qL
红薯,鱼缸水培红薯🍠,https://www.bilibili.com/video/BV1uR4y147RJ
番茄,阳台水培番茄🍅,https://www.bilibili.com/video/BV1TF411H7HP
葱,阳台种葱——卖葱老板知道都哭了,https://www.bilibili.com/video/BV1va41127U6
大葱、小葱,万物皆可种——大葱小葱篇,https://www.bilibili.com/video/BV1rT4y117FB
小葱,10天收割新小葱,https://www.bilibili.com/video/BV1Di4y1L7tn
生菜、芹菜、小葱,水培生菜、芹菜、小葱,https://www.bilibili.com/video/BV1nT4y1u7GR
葱,可乐瓶种葱,https://www.bilibili.com/video/BV177411R7Ao
薄荷,种薄荷 无限生长，生生不息,https://www.bilibili.com/video/BV11R4y1L7Qn
,水培小技巧,https://www.bilibili.com/video/BV1NL4113784
,阳台水培蔬菜（脆脆甜甜）🥬,https://www.bilibili.com/video/BV1x3411H7rK
,水培蔬菜基础版🥬,https://www.bilibili.com/video/BV16y4y1a768
,高密度种菜——25天收割🥬,https://www.bilibili.com/video/BV1Yu411e7VR
青菜,阳台种青菜🥬,https://www.bilibili.com/video/BV1r44y1N7TN
番茄,封闭阳台番茄采摘🍅,https://www.bilibili.com/video/BV1rP4y1u7Ss
生菜,手把手教你种生菜（0失误）🥬,https://www.bilibili.com/video/BV1oA4y1X7LW
蒜苗,鸡蛋托种蒜苗🧄,https://www.bilibili.com/video/BV1iV41187gX
,阳台趣味种菜（没根也成！）🥬,https://www.bilibili.com/video/BV1rp4y1b7hx/
,室内种蔬菜，十天见成果！🥬,https://www.bilibili.com/video/BV1g7411f7KX
蒜,油桶种蒜🥬,https://www.bilibili.com/video/BV1UE411n7or
